catalog_number,description,upc
49999,AUGR BIT I-100 3PC SET CONTAINS 1/4IN,024721100306
50508,"DRL BIT 1/8"" TILE/GLSS CARB",042526505089
50512,"DRL BIT 3/16"" TILE/GLSS CRB",042526505126
50516,"DRL BIT 1/4"" TILE/GLSS CARB",042526505164
50520,"DRL BIT 5/16"" TILE/GLSS CRB",042526505201
50524,"DRL BIT 3/8"" TILE/GLASS CRB",042526505249
50532,"DRL BIT 1/2"" TILE/GLSS CRB",042526505324
52203,SCREW EXT MULTI SPLINE 3/16 HANSON,024721522030
52401,EXTRCTR EX-1 SPIRAL,042526524011
52402,EXTRCTR EX-2 SPIRAL,042526524028
52403,EXTRCTR EX-3 SPIRAL,042526524035
52404,EXTRCTR EX-4 SPIRAL,042526524042
52405,EXTRCTR EX-5 SPIRAL,042526524059
52406,EXTRCTR EX-6 SPIRAL,042526524066
52603,EXTRCTR ST-3 STRGHT,024721526038
52605,EXTRCTR ST-5 STRGHT,024721526052
53201,"EXTRCTR 1/8"" MULTI SPLINE",024721532015
53202,"EXTRCTR 5/32"" MULTI SPLINE",024721532022
53203,"EXTRCTR 3/16"" MULTI SPLINE",024721532039
53204,EXTRCTR 7/32 IN MULTI SPLINE,024721532046
53205,"EXTRCTR 1/4"" MULTI SPLINE",024721532053
53206,"EXTRCTR 9/32"" MULTI SPLINE",024721532060
53207,"EXTRCTR 5/16"" MULTI SPLINE",024721532077
53208,EXTRCTR 11/32IN MULTI SPLINE,024721532084
53209,"EXTRCTR 3/8"" MULTI SPLINE",024721532091
53210,"EXTRCTR 13/32"" MULTI SPLINE",024721532107
53217,"EXTRCTR 5/8"" MULTI SPLINE",024721532176
53226,SCREW EXTRACTOR 10PC MULTI SPLINE,024721532268
53227,EXTRCTR 25PC SET MULTI SPLINE,024721532275
53228,EXTRCTR 15PC SET MULTI SPLINE,024721532282
53401,SCREW EXT #1 SPIRAL,042526534010
53402,SCREW EXT #2 SPIRAL,042526534027
53403,EXTRCTR EX-3 SPIRAL,042526534034
53404,EXTRCTR EX-4 SPIRAL,042526534041
53405,EXTRCTR EX-5 SPIRAL,042526534058
53406,EXTRCTR EX-6 SPIRAL,042526534065
53535,EXTRCTR 5PC SET SPIRAL,042526535352
53545,EXTRACTOR 6PC SET SPIRAL,042526254550
53601,SCREW EXT #1 STRAIGHT,042526536014
53602,SCREW EXT #2 STRAIGHT,042526536021
53603,SCREW EXT #3 STRAIGHT,042526536038
53604,SCREW EXT #4 STRAIGHT,042526536045
53605,SCREW EXT #5 STRAIGHT,042526536052
53606,SCREW EXT #6 STRAIGHT,042526536069
53607,SCREW EXT #7 STRAIGHT,042526536076
53625,SCREW EXT STRAIGHT 4PC SET,042526536250
53635,SCREW EXT STRAIGHT 5PC SET,042526536359
53645,EXTRCTR 6PC SET STRGHT,024721536457
53700,EXTRCTR + DRL BIT 6PC SET,024721537003
53701,EXTRCTR + DRL BIT EX-1+5/64,042526537011
53702,EXTRCTR + DRL BIT EX-2+7/64,042526537028
53703,EXTRCTR + DRILL BIT SPIRAL #3 + 5/32,042526537035
53704,EXTRCTR + DRILL BIT EX-4+1/4,042526537042
53705,EXTRCTR + DRL BIT EX-5+19/64,042526537059
53706,EXTRCTR + DRL BIT EX-6+13/32,042526537066
53901,"IMPACT BOLT GRIP 1/4""/6MM 3/8 DR BULK",024721539014
53902,"IMPACT BOLT GRIP 5/16""/8MM 3/8 DR BULK",024721539021
53905,"IMPACT BOLT GRIP 7/16""/11MM 3/8 DR BULK",024721539052
53912,"IMPACT BOLT GRIP 11/16"" 3/8 DR BULK",024721539120
53918,"IMPACT BOLT GRIP 1"" 1/2 DR BULK",024721539182
54009,EXTRCTR 9PC SET 1/4-3/4IN BOLT 3/8IN DRV,024721540096
54019,EXTRCTR 9PC SET 8-19MM BOLT 3/8IN DRV,024721540195
54113,"EXTRCTR 13PC SET 1/4-3/4"" BOLT 3/8""",024721541130
54125,"EXTRCTR 5PC SET 3/4-1"" BOLT 1/2"" DRV",024721541253
58100,SPR CLMP 1/25MM,038548581002
58200,SPR CLMP 2IN/50MM,038548582009
58300,SPR CLMP 3IN/ 76MM,038548583006
59370,DOOR HINGE TEMPLATE,039404116345
59375,STRIKE & LATCH TEMP,039404116703
59381,HINGE BUTT TEMP KIT,039404593818
60105,DRL 5/64 GP JL 118' BRT BULK,042526601057
60116,DRL 1/4 GP JL 118' BRT BULK,042526601163
60119,DRL 19/64 GP JL 118' BRT BULK,042526601194
60136,DRL BIT 13PC SET,042526601361
60137,DRL BIT 15PC SET,042526601378
60138,DRL BIT 29PC SET,042526601385
60147,"DRL BIT 15PC SET 3/8""",042526601477
60148,"DRL BIT 29PC SET 3/8""",042526601484
60172,DRL BIT FRAC STD ONLY,042526601729
60504,DRL 1/16 GP JL 118' BRT CARDED,042526605048
60505,DRL 5/64 GP JL 118' BRT CARDED,042526605055
60506,DRL 3/32 GP JL 118' BRT CARDED,042526605062
60507,DRL 7/64 GP JL 118' BRT CARDED,042526605079
60508,DRL 1/8 GP JL 118' BRT CARDED,042526605086
60509,DRL 9/64 GP JL 118' BRT CARDED,042526605093
60511,DRL 11/64 GP JL 118' BRT CARDED,042526605116
60512,DRL 3/16 GP JL 118' BRT CARDED,042526605123
60513,DRL 13/64 GP JL 118' BRT CARDED,042526605130
60514,DRL 7/32 GP JL 118' BRT CARDED,042526605147
60515,DRL 15/64 GP JL 118' BRT CARDED,042526605154
60516,DRL 1/4 GP JL 118' BRT CARDED,042526605161
60517,DRL 17/64 GP JL 118' BRT CARDED,042526605178
60519,DRL 19/64 GP JL 118' BRT CARDED,042526605192
60520,DRL 5/16 GP JL 118' BRT CARDED,042526605208
60521,DRL 21/64 GP JL 118' BRT CARDED,042526605215
60522,DRL 11/32 GP JL 118' BRT CARDED,042526605222
60523,DRL 23/64 GP JL 118' BRT CARDED,042526605239
60524,DRL 3/8 GP JL 118' BRT CARDED,042526605246
60608,DRL 1/8 DENDF 135' BLK OX BULK,042526606083
60609,DRL 9/64 DENDF 135' BLK OX BULK,024721606099
60610,DRL 5/32 DENDF 135' BLK OX BULK,024721606105
60612,DRL 3/16 DENDF 135' BLK OX BULK,024721606129
60616,DRL 1/4 DENDF 135' BLK OX BULK,024721606167
61108,"DRL BIT 1/8"" X 3"" MSNRY ECONO",042526611087
61112,"DRL BIT 3/16"" X 4"" MSNRY ECONO",042526611124
61116,"DRL BIT 1/4"" X 4"" MSNRY ECONO",042526611162
61120,"DRL BIT 5/16"" X 4"" MSNRY ECONO",042526611209
61124,"DRL BIT 3/8"" X 4"" MSNRY ECONO",042526611247
61128,"DRL BIT 7/16"" X 4"" MSNRY ECONO",042526611285
61132,"DRL BIT 1/2"" X 4"" MSNRY ECONO",042526611322
61140,"DRL BIT 5/8"" X 6"" MSNRY ECONO",042526611407
61148,"DRL BIT 3/4"" X 6"" MSNRY ECONO",042526611483
61170,DRL BIT 5PC SET MSNRY ECONO,042526611704
61224,DRL 3/8 A12 12IN 135FT BLK OX BULK,042526612244
61611,DRL #11 DENDW 135' BLK OX BULK,024721616111
61630,DRL #30 DENDW 135' BLK OX BULK,024721616302
62108,"DRL 1/8 A12 12"" 135' BLK OX POUCHED",042526621086
62116,"DRL 1/4 A12 12"" 135' BLK OX POUCH",042526621161
62120,"DRL 5/16 A12 12"" 135' BLK OX POUCHED",042526621208
62124,"DRL 3/8 A12 12"" 135' BLK OX POUCHED",042526621246
62128,"DRL 7/16 A12 12"" 135' BLK OX POUCHED",042526621284
62132,DRL 1/2 A12 12IN 135FT BLK OX POUCHED,042526621321
63104,DRL 1/16 COB JL 135' BULK,042526631047
63106,DRL 3/32 COB JL 135' BULK,042526631061
63107,DRL 7/64 COB JL 135' BULK,885911614511
63108,DRL 1/8 COB JL 135' BULK,042526631085
63109,DRL 9/64 COB JL 135' BULK,885911602846
63110,DRL 5/32 COB JL 135' BULK,042526631108
63111,DRL 11/64 COB JL 135' BULK,042526631115
63114,DRL 7/32 COB JL 135' BULK,042526631146
63115,DRL 15/64 COB JL 135' BULK,885911602860
63116,DRL 1/4 COB JL 135' BULK,042526631160
63117,DRL 17/64 COB JL 135' BULK,042526631177
63118,DRL 9/32 COB JL 135' BULK,042526631184
63119,DRL 19/64 COB JL 135' BULK,042526631191
63120,DRL 5/16 COB JL 135' BULK,042526631207
63121,DRL 21/64 COB JL 135' BULK,042526631214
63122,DRL 11/32 COB JL 135' BULK,042526631221
63123,DRL 23/64 COB JL 135' BULK,042526631238
63124,DRL 3/8 COB JL 135' BULK,042526631245
63125,DRL 25/64 COB JL 135' BULK,042526631252
63126,DRL 13/32 COB JL 135' BULK,042526631269
63127,DRL 27/64 COB JL 135' BULK,042526631276
63128,DRL 7/16 COB JL 135' BULK,042526631283
63129,DRL 29/64 COB JL 135' BULK,042526631290
63130,DRL 15/32 COB JL 135' BULK,042526631306
63131,DRL 31/64 COB JL 135' BULK,042526631313
63132,DRL 1/2 COB JL 135' BULK,042526631320
63221,DRL BIT 21PC SET CBLT,042526632211
63504,DRL 1/16 HD JL 135' BLK OX BULK,042526635045
63505,DRL 5/64 HD JL 135' BLK OX BULK,042526635052
63506,DRL 3/32 HD JL BLK OX BULK,042526635069
63507,DRL 7/64 HD JL 135' BLK OX BULK,042526635076
63508,DRL 1/8 HD JL 135' BLK OX BULK,042526635083
63509,DRL 9/64 HD JL 135' BLK OX BULK,042526635090
63510,DRL 5/32 HD JL 135' BLK OX BULK,042526635106
63511,DRL 11/64 HD JL 135' BLK OX BULK,042526635113
63512,DRL 3/16 HD JL 135' BLK OX BULK,042526635120
63513,DRL 13/64 HD JL 135' BLK OX BULK,042526635137
63514,DRL 7/32 HD JL 135' BLK OX BULK,042526635144
63516,DRL 1/4 HD JL 135' BLK OX BULK,042526635168
63517,DRL 17/64 HD JL 135' BLK OX BULK,042526635175
63518,DRL 9/32 HD JL 135' BLK OX BULK,042526635182
63530,DRL 15/32 HD JL 135' BLK OX BULK,042526635304
63532,DRL 1/2 HD JL 135' BLK OX BULK,042526635328
63904,DRL 1/16 TIN JL 135' CARDED,042526639043
63905,DRL 5/64 TIN JL 135' CARDED,042526639050
63906,DRL 3/32 TIN JL 135' CARDED,042526639067
63907,DRL 7/64 TIN JL 135' CARDED,042526639074
63908,DRL 1/8 TIN JL 135' CARDED,042526639081
63909,DRL 9/64 TIN JL 135' CARDED,042526639098
63910,DRL 5/32 TIN JL 135' CARDED,042526639104
63911,DRL 11/64 TIN JL 135' CARDED,042526639111
63912,DRL 3/16 TIN JL 135' CARDED,042526639128
63913,DRL 13/64 TIN JL 135' CARDED,042526639135
63914,DRL 7/32 TIN JL 135' CARDED,042526639142
63915,DRL 15/64 TIN JL 135' CARDED,042526639159
63916,DRL 1/4 TIN JL 135' CARDED,042526639166
63918,DRL 9/32 TIN JL 135' CARDED,042526639180
63920,DRL 5/16 TIN JL 135' CARDED,042526639203
63922,DRL 11/32 TIN JL 135' CARDED,042526639227
63924,DRL 3/8 TIN JL 135' CARDED,042526639241
63926,DRL 13/32 TIN JL 135' CARDED,042526639265
63928,DRL 7/16 TIN JL 135' CARDED,042526639289
63930,DRL 15/32 TIN JL 135' CARDED,042526639302
63932,DRL 1/2 TIN JL 135' CARDED,042526639326
64100,STAKE FLAG 100PC FLSCNT ORNG.,024721641007
64101,STAKE FLAG 100PC FLSCNT PINK.,024721641014
64102,STAKE FLAG 100PC FLSCNT LIME.,024721641021
64901,CHALK 8OZ BLUE,024721500076
64902,CHALK 8OZ RED,024721500120
64904,CHALK 8OZ WHITE,024721500144
64907,CHALK 8OZ FLSCNT GREEN,024721649072
65102,5 LB. RED CHALK PERMANENT,024721500212
65104,5 LB. WHITE CHALK STANDARD,024721651044
65105,5 LB ORANGE CHALK HI-VIS,024721651051
65106,5 LB. GREEN CHALK HI-VIS,024721651068
65201,2.5 LB BLUE CHALK STANDARD,024721652010
65202,2.5 LB RED CHALK PERMANENT,024721652027
65505,MERCH - SHORT LENGTH ROTARY MASONRY 20PC,042526655050
65506,"DRL BIT 16PC 12"" DSPY",024721655066
65510,DRL BIT 28PC CBLT DSPY,024721655103
65512,DRL BIT 8PC S + D DSPY,024721655127
65516,DRL BIT 28PC TIN DSPY,024721655165
65533,DRL BIT 42PC CBLT DSPY,024721655332
65536,MERCH - LONG LENGTH ROTARY MASONRY 14PC,042526655364
65537,EXTRCTR + DRL BIT 18PC DSPLY,024721655370
65601,TAPE 150' FLSCNT RED FLAGGING,024721710024
65602,TAPE 150' FLSCNT ORNG FLAGGING,024721710031
65603,TAPE 150' FLSCNT PINK FLAGGING,024721710048
65604,TAPE 150FT FLSCNT LIME FLAGGING,024721710055
65902,TAPE 300' ORNG FLAGGING.,024721710062
65903,TAPE 300' BLUE FLAGGING.,024721710086
65905,TAPE 300' YELLOW FLAGGING.,024721710109
66200,"TAPE 300'X 3"" CAUTION",024721710017
66202,"TAPE 300'X 3"" DANGER-DO NOT ENTER",024721710123
66231,"TAPE 1000'X 3"" CAUTION""",024721710246
66300,PENCIL MED,024721663009
66301,PENCIL SOFT,024721663016
66302,PENCIL HARD,024721663023
66400,PENCIL 6PC SET MED,024721664006
66402,CRAYON BLUE BULK,024721664020
66404,CRAYON BLACK BULK,024721664044
66405,CRAYON WHITE BULK,024721664051
66406,CRAYON YELLOW BULK,024721664068
66608,DRL 1/8 A6 6IN 135FT BLK OX BULK,042526666087
66610,DRL 5/32 A6 6IN 135FT BLK OX BULK,042526666100
66612,DRL 3/16 A6 6IN 135FT BLK OX BULK,042526666124
66616,DRL 1/4 A6 6IN 135FT BLK OX BULK,042526666162
66624,DRL 3/8 A6 6IN 135FT BLK OX BULK,024721666246
66708,"DRL 1/8 A6 6"" 135' BLK OX CARDED",042526667084
66710,"DRL 5/32"" A6 135' BLK OX",042526667107
66712,"DRL 3/16 A6 6"" 135' BLK OX CARDED",042526667121
66714,DRL 7/32i nch A6 135 BLK OX,042526667145
66716,"DRL 1/4 A6 6"" 135' BLK OX CARDED",042526667169
66724,"DRL 3/8 A6 6"" 135' BLK OX CARDED",042526667244
66728,"DRL 7/16 A6 6"" 135' BLK OX CARDED",042526667282
66732,"DRL 1/2 A6 6"" 135' BLK OX CARDED",042526667329
67502,DRL BIT 58PC HSS DSPY,024721675026
67504,DRL 1/16 HD JL 135' BLK OX CARDED,024721675040
67505,DRL 5/64 HD JL 135' BLK OX CARDED,024721675057
67506,DRL 3/32 HD JL 135' BLK OX CARDED,024721675064
67507,DRL 7/64 HD JL 135' BLK OX CARDED,024721675071
67508,DRL 1/8 HD JL 135' BLK OX CARDED,024721675088
67509,DRL 9/64 HD JL 135' BLK OX CARDED,024721675095
67510,DRL 5/32 HD JL 135' BLK OX CARDED,024721675101
67511,DRL 11/64 HD JL 135' BLK OX CARDED,024721675118
67512,DRL 3/16 HD JL 135' BLK OX CARDED,024721675125
67513,DRL 13/64 HD JL 135' BLK OX CARDED,024721675132
67514,DRL 7/32 HD JL 135' BLK OX CARDED,024721675149
67515,DRL 15/64 HD JL 135' BLK OX CARDED,024721675156
67516,DRL 1/4 HD JL 135' BLK OX CARDED,024721675163
67517,DRL 17/64 HD JL 135' BLK OX CARDED,024721675170
67518,DRL 9/32 HD JL BLK OX CARDED,024721675187
67519,DRL 19/64 HD JL 135' BLK OX CARDED,024721675194
67520,DRL 5/16 HD JL 135' BLK OX CARDED,024721675200
67521,DRL 21/64 HD JL 135' BLK OX CARDED,024721675217
67522,DRL 11/32 HD JL 135' BLK OX CARDED,024721675224
67523,DRL 23/64 HD JL 135' BLK OX CARDED,024721675231
67524,DRL 3/8 HD JL 135' BLK OX CARDED,024721675248
67532,DRL 1/2 HD JL 135' BLK OX CARDED,024721675323
67825,DRL 25/64 HDR JL 135' BLK OX CARDED,024721678256
67826,DRL 13/32 HDR JL 135' BLK OX CARDED,024721678263
67827,DRL 27/64 HDR JL 135' BLK OX CARDED,024721678270
67828,DRL 7/16 HDR JL 135' BLK OX CARDED,024721678287
67829,DRL 29/64 HDR JL 135' BLK OX CARDED,024721678294
67830,DRL 15/32 HDR JL 135' BLK OX CARDED,024721678300
67831,DRL 31/64 HDR JL 135' BLK OX CARDED,024721678317
67832,DRL 1/2 HDR JL 135' BLK OX CARDED,024721678324
71826,DRL 13/32 GPR JL 118' BRT BULK,042526718267
71830,DRL 15/32 GPR JL 118' BRT BULK,042526718304
73104,DLR 1/16 TMX JL 135' BULK,024721731043
73304,DRL 1/16 TMX JL 135' CARDED,024721733047
73305,DRL 5/64 TMX JL 135' CARDED,024721733054
73306,DRL 3/32 TMX JL 135' CARDED,024721733061
73307,DRL 7/64 TMX JL 135' CARDED,024721733078
73308,"DRL 1/8"" TMX JL 135' CARDED",024721733085
73309,DRL 9/64 TMX JL 135' CARDED,024721733092
73310,DRL 5/32 TMX JL 135' CARDED,024721733108
73311,DRL 11/64 TMX JL 135'CARDED,024721733115
73312,DRL 3/16 TMX JL 135' CARDED,024721733122
73313,DRL 13/64 TMX JL 135' CARDED,024721733139
73314,DRL 7/32 TMX JL 135' CARDED,024721733146
73315,DRL 15/64 TMX JL 135' CARDED,024721733153
73316,DRL 1/4 TMX JL 135' CARDED,024721733160
73317,DRL 17/64 TMX JL 135' CARDED,024721733177
73319,DRL 19/64 TMX JL 135' CARDED,024721733191
73320,DRL 5/16 TMX JL 135' CARDED,024721733207
73321,DRL 21/64 TMX JL 135' CARDED,024721733214
73322,DRL 11/32 TMX JL 135' CARDED,024721733221
73323,DRL 23/64 TMX JL 135' CARDED,024721733238
73324,DRL 3/8 TMX JL 135' CARDED,024721733245
73330,DRL 15/32 TMX JL 135' CARDED,024721733306
73626,DRL 13/32 TMXR JL 135' CARDED,024721736260
73631,DRL 31/64 TMXR JL 135' CARDED,024721736314
73632,DRL 1/2 TMXR JL 135' CARDED,024721736321
73825,DRL 25/64 GPR JL 118' BRT CARDED,024721738257
73826,DRL 13/32 GPR JL 118' BRT CARDED,042526738265
73827,DRL 27/64 GPR JL 118' BRT CARDED,024721738271
73828,DRL 7/16 GPR JL 118' BRT CARDED,042526738289
73829,DRL 29/64 GPR JL 118' BRT CARDED,024721738295
73830,DRL 15/32 GPR JL 118' BRT CARDED,042526738302
73831,DRL 31/64 GPR JL 118' BRT CARDED,024721738318
77085,DRYWALL SNDR PADS 80,039404135179
77105,DRYWALL SNDR PAD 100,039404135186
77125,DRYWALL SNDR PAD 120,039404135193
77155,DRYWALL SNDR PAD 150,039404135209
77185,DRYWALL SNDR PAD 180,039404135216
77225,DRYWALL SNDR PAD 220,039404135223
78114,WET/DRY VAC FILTER BAG 5GAL 2PLY,039404115065
78117,6.904.247.0 TOP EXHAUST FILTER,039404781178
80181,DRL BIT 60PC SET # HSS,042526801815
80187,DRILL BIT + TAP 13PC SET ALL-PURPOSE,042526801877
80209,TAP + DRILL BIT 4-40 NC + #43,042526802096
80213,TAP + DRILL BIT 6-32 NC + 7/64,042526802133
80217,TAP + DRILL BIT 8-32 NC + #29,042526802171
80220,TAP + DRILL BIT 10-24 NC + #25,042526802201
80221,TAP + DRILL BIT 10-32 NF/#21,042526802218
80222,TAP + DRL BIT 12-24NC/#16,042526802225
80230,TAP + DRILL BIT 1/4-20 NC + 13/64,042526802300
80232,TAP + DRILL BIT 1/4-28 NF + #3,042526802324
80235,TAP + DRILL BIT 5/16-18 NC + LETTER G,042526802355
80238,TAP + DRILL BIT 3/8-16 NC + LETTER O,042526802386
80242,TAP + DRILL BIT 1/2-13 NC + 27/64,042526802423
80260,TAP + DRILL BIT 1/4-18 NPT + 7/16,042526802607
81101,DRL #1 GPW JL 118' BRT CARDED,024721811011
81102,DRL #2 GPW JL 118' BRT CARDED,024721811028
81103,DRL #3 GPW JL 118' BRT CARDED,024721811035
81104,DRL #4 GPW JL 118' BRT CARDED,024721811042
81105,DRL #5 GPW JL 118' BRT CARDED,024721811059
81106,DRL #6 GPW JL 118' BRT CARDED,024721811066
81107,DRL #7 GPW JL 118' BRT CARDED,024721811073
81108,DRL #8 GPW JL 118' BRT CARDED,024721811080
81109,DRL #9 GPW JL 118' BRT CARDED,024721811097
81111,DRL #11 GPW JL 118' BRT CARDED,024721811110
81112,DRL #12 GPW JL 118' BRT CARDED,024721811127
81113,DRL #13 GPW JL 118' BRT CARDED,024721811134
81114,DRL #14 GPW JL 118' BRT CARDED,024721811141
81115,DRL #15 GPW JL 118' BRT CARDED,024721811158
81116,DRL #16 GPW JL 118' BRT CARDED,024721811165
81117,DRL #17 GPW JL 118' BRT CARDED,024721811172
81118,DRL #18 GPW JL 118' BRT CARDED,024721811189
81119,DRL #19 GPW JL 118' BRT CARDED,024721811196
81121,DRL #21 GPW JL 118' BRT CARDED,024721811219
81125,DRL #25 GPW JL 118' BRT CARDED,024721811257
81126,DRL #26 GPW JL 118' BRT CARDED,024721811264
81129,DRL #29 GPW JL 118' BRT CARDED,024721811295
81131,DRL #31 GPW JL 118' BRT CARDED,024721811318
81132,DRL #32 GPW JL 118' BRT CARDED,024721811325
81133,DRL #33 GPW JL 118' BRT CARDED,024721811332
81134,DRL #34 GPW JL 118' BRT CARDED,024721811349
81135,DRL #35 GPW JL 118' BRT CARDED,024721811356
81136,DRL #36 GPW JL 118' BRT CARDED,024721811363
81137,DRL #37 GPW JL 118' BRT CARDED,024721811370
81138,DRL #38 GPW JL 118' BRT CARDED,024721811387
81139,DRL #39 GPW JL 118' BRT CARDED,024721811394
81140,DRL #40 GPW JL 118' BRT CARDED,024721811400
81141,DRL #41 GPW JL 118' BRT CARDED,024721811417
81142,DRL #42 GPW JL 118' BRT CARDED,024721811424
81143,DRL #43 GPW JL 118' BRT CARDED,024721811431
81144,DRL #44 GPW JL 118' BRT CARDED,024721811448
81145,DRL #45 GPW JL 118' BRT CARDED,024721811455
81146,DRL #46 GPW JL 118' BRT CARDED,024721811462
81147,DRL #47 GPW JL 118' BRT CARDED,024721811479
81148,DRL #48 GPW JL 118' BRT CARDED,024721811486
81149,DRL #49 GPW JL 118' BRT CARDED,024721811493
81150,DRL #50 GPW JL 118' BRT CARDED,024721811509
81151,DRL #51 GPW JL 118' BRT CARDED,024721811516
81152,DRL #52 GPW JL 118' BRT CARDED,024721811523
81154,DRL #54 GPW JL 118' BRT CARDED,024721811547
81155,DRL #55 GPW JL 118' BRT CARDED,024721811554
81156,DRL #56 GPW JL 118' BRT CARDED,024721811561
81158,DRL #58 GPW JL 118' BRT CARDED,024721811585
81160,DRL #60 GPW JL 118' BRT CARDED,024721811608
87908,"FLAT BIT 1/2""X 4""",024721879080
87910,"FLAT BIT 5/8""X 4""",024721879103
87912,"FLAT BIT 3/4""X 4""",024721879127
87914,"FLAT BIT 7/8""X 4""",024721879141
87916,"FLAT BIT 1""X 4""",024721879165
87920,"FLAT BIT 1-1/4"" X 4""",024721879202
87924,"FLAT BIT 1-1/2"" X 4""",024721879240
87950,"4"" SHORT LENGTH FLAT BIT 3PC SET",024721879509
87954,"4"" SHORT LENGTH FLAT BIT 4PC SET",024721879547
88601,"FLAT BIT 12"" EXT",024721886019
88702,"FLAT BIT 6"" EXT",024721887023
88706,"FLAT BIT 3/8"" X 16""",024721887061
88708,FLAT BIT 1/2 X 16 IN,024721887085
88710,"FLAT BIT 5/8"" X 16""",024721887108
88712,"FLAT BIT 3/4"" X 16""",024721887122
88714,"FLAT BIT 7/8"" X 16""",024721887146
88716,"FLAT BIT 1"" X 16""",024721887160
88804,"FLAT BIT 1/4"" X 6""",024721200426
88805,"FLAT BIT 5/16"" X 6""",024721200433
88806,"FLAT BIT 3/8"" X 6""",024721200440
88807,"FLAT BIT 7/16"" X 6""",024721200457
88808,"FLAT BIT 1/2"" X 6""",024721200464
88809,"FLAT BIT 9/16"" X 6""",024721200471
88810,"FLAT BIT 5/8"" X 6""",024721200488
88811,"FLAT BIT 11/16"" X 6""",024721200495
88812,"FLAT BIT 3/4"" X 6""",024721200501
88813,"FLAT BIT 13/16"" X 6""",024721200518
88814,"FLAT BIT 7/8"" X 6""",024721200525
88815,"FLAT BIT 15/16"" X 6""",024721200532
88816,"FLAT BIT 1"" X 6""",024721200549
88818,"FLAT BIT 1-1/8"" X 6""",024721200556
88820,"FLAT BIT 1-1/4"" X 6""",024721200563
88822,"FLAT BIT 1-3/8"" X 6""",024721200570
88824,"FLAT BIT 1-1/2"" X 6""",024721200587
88885,FLAT BIT 5PC QC SET CLAMSHELLED,024721888754
88886,FLAT BIT 6PC SM SET CLAMSHELLED,024721200600
88891,"MERCH 38 PC 6"" STANDARD SPADE BIT",024721888914
90078,MERCH 14 PC BRAD POINT,024721900784
90097,"MERCH 12 PC 16"" EXTRA LONG SPADE BIT",024721900975
90099,MERCH 8 PC PLUG CUTTER,024721900999
90108,DRL BIT 8PC SET S + D,024721901088
90168,DRL 1-1/16 S+D 118' BLK OX/BRT TUBED,042526901683
90172,DRL 1-1/8 S+D 118' BLK OX/BRT TUBED,042526901720
90174,DRL 1-5/32 S+D 118' BLK OX/BRT TUBED,024721901743
90176,DRL 1-3/16 S+D 118' BLK OX/BRT TUBED,042526901768
90180,DRL 1-1/4 S+D 118' BLK OX/BRT TUBED,042526901805
90184,DRL 1-5/16 S+D 118' BLK OX/BRT TUBED,042526901843
90188,DRL 1-3/8 S+D 118' BLK OX/BRT TUBED,042526901881
90196,DRL 1-1/2 S+D 118' BLK OX/BRT TUBED,042526901966
91133,DRL 33/64 S+D 118'' BLK OX/BRT TUBED,024721911339
91134,DRL 17/32 S+D 118' BLK OX/BRT TUBED,024721911346
91135,DRL 35/64 S+D 118' BLK OX/BRT TUBED,024721911353
91136,DRL 9/16 S+D 118' BLK OX/BRT TUBED,024721911360
91137,DRL 37/64 S+D 118' BLK OX/BRT TUBED,024721911377
91138,DRL 19/32 S+D 118' BLK OX/BRT TUBED,024721911384
91140,DRL 5/8 S+D 118' BLK OX/BRT TUBED,024721911407
91141,DRL 41/64 S+D 118' BLK OX/BRT TUBED,024721911414
91142,DRL 21/32 S+D 118' BLK OX/BRT TUBED,024721911421
91143,DRL 43/64 S+D 118' BLK OX/BRT TUBED,024721911438
91144,DRL 11/16 S+D 118' BLK OX/BRT TUBED,024721911445
91145,DRL 45/64 S+D 118' BLK OX/BRT TUBED,024721911452
91146,DRL 23/32 S+D 118' BLK OX/BRT TUBED,024721911469
91148,DRL 3/4 S+D 118' BLK OX/BRT TUBED,024721911483
91149,DRL 49/64 S+D 118' BLK OX/BRT TUBED,024721911490
91150,DRL 25/32 S+D 118' BLK OX/BRT TUBED,024721911506
91152,DRL 13/16 S+D 118' BLK OX/BRT TUBED,024721911520
91154,DRL 27/32 S+D 118' BLK OX/BRT TUBED,024721911544
91156,DRL 7/8 S+D 118' BLK OX/BRT TUBED,024721911568
91158,DRL 29/32 S+D 118' BLK OX/BRT TUBED,024721911582
91159,DRL 59/64 S+D 118' BLK OX/BRT TUBED,024721911599
91160,DRL 15/16 S+D 118' BLK OX/BRT TUBED,024721911605
91164,DRL 1 S+D 118' BLK OX/BRT TUBED,024721911643
91830,50CT - 1/4 X 1-7/8 MAG NUTSETTER-94212,673765918301
91831,50CT - 5/16 X 1-7/8 MAG NUTSETTER-94232,673765918318
97311,TAP + DIE 25PC SET MTRC HEX,024721973115
97312,TAP + DIE 66PC SET MTRC HEX,024721973122
97606,TAP + DIE 66PC SET MS/FRACTIONAL HEX,024721976062
99712,"FLAT BIT 3/4"" X 16""",024721997128
99716,"FLAT BIT 1"" X 16""",024721997166
99906,"FLAT BIT 3/8"" X 6""",024721999061
99908,"FLAT BIT 1/2"" X 6""",024721999085
99909,"FLAT BIT 9/16"" X 6""",024721999092
99910,"FLAT BIT 5/8"" X 6""",024721999108
99911,"FLAT BIT 11/16"" X 6""",024721999115
99912,"FLAT BIT 3/4"" X 6""",024721999122
